"n","Green tot","Maximal tot","Cliques","Subgroups","Making graphs"
1, 1, 0, 0, 0, 0
2, 2, 88, 0, 15, 5
3, 7, 34, 0, 15, 2
4, 3, 21, 0, 8, 1
5, 5, 37, 0, 20, 3
6, 6, 37, 0, 11, 5
7, 7, 51, 0, 30, 2
8, 21, 40, 0, 7, 3
9, 35, 42, 0, 8, 4
10, 48, 41, 0, 8, 3
11, 77, 67, 0, 15, 4
12, 99, 28, 0, 5, 2
13, 199, 32, 0, 9, 2
14, 494, 46, 0, 9, 4
15, 1455, 52, 0, 8, 2
16, 2482, 53, 0, 11, 2
17, 4588, 39, 0, 8, 2
18, 9731, 50, 0, 5, 6
19, 21004, 64, 0, 9, 3
20, 44932, 53, 0, 6, 3
21, 111602, 110, 0, 46, 5

